subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.567;05.575;2569;0.055274
05.567;05.576;114;0.184211
05.567;05.577;151;0.092715
05.567;05.578;216;0.087963
05.567;05.579;390;0.069231
05.567;05.580;89;0.101124
05.567;05.581;84;0.130952
05.567;05.582;930;0.180645
05.567;05.583;88;0.193182
05.567;05.584;180;0.116667
05.567;05.585;2344;0.0657
05.567;05.586;272;0.143382
05.567;05.587;97;0.206186
05.567;05.588;135;0.022222
05.567;05.589;573;0.157068
05.567;05.590;1951;0.08816
05.567;05.591;1267;0.017364
05.567;05.592;58;0.12069
05.567;05.593;227;0.096916
05.567;05.594;71;0.112676
05.567;05.595;1626;0.012915
05.567;05.596;963;0.033229
05.567;05.597;179;0.089385
05.567;05.598;198;0.050505
05.567;05.599;116;0.068966
05.567;05.600;120;0.108333
05.567;05.601;152;0.190789
05.567;05.604;155;0.077419
05.567;05.607;96;0.145833
05.567;05.611;1348;0.117953
05.567;05.613;613;0.066884
05.567;05.614;423;0.12766
05.567;05.615;3085;0.001945
05.567;05.616;102;0.107843
05.567;22.400;33;0.181818
05.568;05.554;46;0.065217
05.568;05.555;178;0.146067
05.568;05.556;50;0.08
05.568;05.557;1323;0.038549
05.568;05.558;711;0.070323
05.568;05.559;132;0.083333
05.568;05.560;169;0.071006
05.568;05.561;100;0.07
05.568;05.562;113;0.106195
05.568;05.563;108;0.212963
05.568;05.564;126;0.18254
05.568;05.565;79;0.139241
05.568;05.566;1497;0.207081
05.568;05.567;538;0.053903
05.568;05.568;0;0
05.568;05.569;1550;0.170968
05.568;05.570;1514;0.317041
05.568;05.571;1077;0.212628
05.568;05.572;1089;0.100092
05.568;05.573;1455;0.209622
05.568;05.574;315;0.038095
05.568;05.575;970;0.13299
05.568;05.576;100;0.26
05.568;05.577;156;0.038462
05.568;05.578;213;0.051643
05.568;05.579;378;0.050265
05.568;05.580;79;0.126582
05.568;05.581;78;0.192308
05.568;05.582;808;0.173267
05.568;05.583;78;0.217949
05.568;05.584;146;0.130137
05.568;05.585;1064;0.158835
05.568;05.586;188;0.202128
05.568;05.587;83;0.204819
05.568;05.588;115;0.017391
05.568;05.589;408;0.196078
05.568;05.590;1138;0.1529
05.568;05.591;431;0.064965
05.568;05.592;57;0.122807
05.568;05.593;191;0.115183
05.568;05.594;75;0.16
05.568;05.595;450;0.062222
05.568;05.596;384;0.109375
05.568;05.597;157;0.133758
05.568;05.598;180;0.055556
05.568;05.599;109;0.165138
05.568;05.600;116;0.12069
05.568;05.601;107;0.168224
05.568;05.604;136;0.139706
05.568;05.607;119;0.12605
05.568;05.611;2082;0.168588
05.568;05.613;604;0.057947
05.568;05.614;305;0.216393
